#Gene_name	pLi	pRec	pNull	Gene_full_name	Function_description	Disease_description	Tissue_specificity(Uniprot)	Expression(egenetics)	Expression(GNF/Atlas)	P(HI)	P(rec)	RVIS	RVIS_percentile	GDI	GDI-Phred
PDE2A	0.988417592612146	0.0115824071001366	2.87717120482479e-10	phosphodiesterase 2A	FUNCTION: Cyclic nucleotide phosphodiesterase with a dual- specificity for the second messengers cAMP and cGMP, which are key regulators of many important physiological processes.; 	.	TISSUE SPECIFICITY: Expressed in brain and to a lesser extent in heart, placenta, lung, skeletal muscle, kidney and pancreas.; 	ovary;sympathetic chain;colon;fovea centralis;choroid;skin;retina;uterus;prostate;optic nerve;frontal lobe;larynx;thyroid;bone;testis;brain;unclassifiable (Anatomical System);amygdala;heart;lacrimal gland;adrenal cortex;lens;lung;macula lutea;hippocampus;visual apparatus;liver;spleen;head and neck;cervix;kidney;stomach;	.	0.31412	0.18339	-1.085675268	7.147912243	357.59713	4.00736
PDE3A	0.106612095996096	0.893376507531194	1.13964727101701e-05	phosphodiesterase 3A	FUNCTION: Cyclic nucleotide phosphodiesterase with a dual- specificity for the second messengers cAMP and cGMP, which are key regulators of many important physiological processes. {ECO:0000250|UniProtKB:Q9Z0X4}.; 	DISEASE: Hypertension and brachydactyly syndrome (HTNB) [MIM:112410]: A syndrome characterized by brachydactyly type E, severe salt-independent but age-dependent hypertension, an increased fibroblast growth rate, neurovascular contact at the rostral-ventrolateral medulla, and altered baroreflex blood pressure regulation. It results in death from stroke before age 50 years when untreated. Brachydactyly type E is characterized by shortening of the fingers mainly in the metacarpals and metatarsals. {ECO:0000269|PubMed:25961942}. Note=The disease is caused by mutations affecting the gene represented in this entry.; 	.	unclassifiable (Anatomical System);fovea centralis;choroid;lens;skeletal muscle;retina;optic nerve;lung;placenta;thyroid;bone;macula lutea;liver;testis;head and neck;kidney;	superior cervical ganglion;ciliary ganglion;trigeminal ganglion;	0.09476	0.14669	-1.104093597	6.894314697	1899.16799	8.01225
PDE3B	0.0036164696577972	0.996367665052451	1.58652897514079e-05	phosphodiesterase 3B	FUNCTION: Cyclic nucleotide phosphodiesterase with a dual- specificity for the second messengers cAMP and cGMP, which are key regulators of many important physiological processes. May play a role in fat metabolism. Regulates cAMP binding of RAPGEF3. Through simultaneous binding to RAPGEF3 and PIK3R6 assembles a signaling complex in which the PI3K gamma complex is activated by RAPGEF3 and which is involved in angiogenesis. {ECO:0000269|PubMed:15147193, ECO:0000269|PubMed:21393242}.; 	.	TISSUE SPECIFICITY: Abundant in adipose tissues.; 	unclassifiable (Anatomical System);cartilage;islets of Langerhans;colon;skin;skeletal muscle;bone marrow;breast;pancreas;prostate;lung;cerebral cortex;visual apparatus;pituitary gland;liver;testis;spleen;kidney;brain;mammary gland;bladder;aorta;stomach;	dorsal root ganglion;superior cervical ganglion;ciliary ganglion;atrioventricular node;pons;trigeminal ganglion;skeletal muscle;	0.18608	0.39801	0.07167258	59.15899976	220.4717	3.20931
PDE4A	0.976417636472092	0.023582323111838	4.04160701323524e-08	phosphodiesterase 4A	FUNCTION: Hydrolyzes the second messenger cAMP, which is a key regulator of many important physiological processes. {ECO:0000269|PubMed:11566027, ECO:0000269|PubMed:17727341}.; 	.	TISSUE SPECIFICITY: Isoform 1 is widely expressed. Isoform 2 is abundant in liver, stomach, testis, thyroid and adrenal glands. It is also found in placenta, kidney, pancreas, ovary, uterus, skin, monocytes, mast cells, macrophages, as well as in bronchial smooth muscle. Isoform 6 is expressed at high levels in the heart and small intestine. It is also found in the brain, kidney, spleen, colon, salivary gland, ovary and peripheral blood lymphocytes. Isoform 7 is expressed predominantly in skeletal muscle and brain and at lower levels in the testis. Isoform 7 is expressed in the brain. Found in specific neuronal subpopulations in cortex, spinal cord and cerebellum (at protein level). {ECO:0000269|PubMed:11306681, ECO:0000269|PubMed:15738310, ECO:0000269|PubMed:18095939}.; 	ovary;salivary gland;colon;parathyroid;fovea centralis;skin;uterus;prostate;endometrium;bone;thyroid;testis;amniotic fluid;brain;unclassifiable (Anatomical System);lymph node;cartilage;heart;nervous;islets of Langerhans;skeletal muscle;breast;pancreas;lung;placenta;macula lutea;liver;spleen;head and neck;kidney;cerebellum;	dorsal root ganglion;superior cervical ganglion;medulla oblongata;cerebellum peduncles;temporal lobe;pons;atrioventricular node;skeletal muscle;fetal liver;subthalamic nucleus;testis - seminiferous tubule;prefrontal cortex;globus pallidus;ciliary ganglion;trigeminal ganglion;parietal lobe;cingulate cortex;cerebellum;	0.08521	0.11239	-1.105907904	6.86482661	973.10156	6.03083
PDE4B	0.709078616910536	0.290915493708856	5.88938060772235e-06	phosphodiesterase 4B	FUNCTION: Hydrolyzes the second messenger cAMP, which is a key regulator of many important physiological processes. May be involved in mediating central nervous system effects of therapeutic agents ranging from antidepressants to antiasthmatic and anti-inflammatory agents. {ECO:0000269|PubMed:10846163, ECO:0000269|PubMed:15003452}.; 	.	TISSUE SPECIFICITY: Expressed in brain, heart, lung and skeletal muscle.; 	smooth muscle;umbilical cord;ovary;salivary gland;colon;parathyroid;vein;skin;bone marrow;uterus;prostate;optic nerve;whole body;frontal lobe;endometrium;bone;thyroid;testis;germinal center;brain;pineal gland;bladder;unclassifiable (Anatomical System);amygdala;cartilage;heart;lacrimal gland;islets of Langerhans;adrenal cortex;pharynx;blood;skeletal muscle;breast;pancreas;lung;adrenal gland;nasopharynx;placenta;visual apparatus;hippocampus;liver;spleen;head and neck;kidney;mammary gland;aorta;stomach;	amygdala;thalamus;medulla oblongata;occipital lobe;superior cervical ganglion;cerebellum peduncles;hypothalamus;temporal lobe;spinal cord;pons;caudate nucleus;atrioventricular node;skeletal muscle;subthalamic nucleus;prefrontal cortex;globus pallidus;trigeminal ganglion;parietal lobe;cingulate cortex;	0.84740	0.40738	-0.686998355	15.26893135	150.61725	2.67949
PDE4C	4.88574724786651e-05	0.992360867201174	0.00759027532634714	phosphodiesterase 4C	FUNCTION: Hydrolyzes the second messenger cAMP, which is a key regulator of many important physiological processes. {ECO:0000269|PubMed:17727341}.; 	.	TISSUE SPECIFICITY: Expressed in various tissues but not in cells of the immune system.; 	unclassifiable (Anatomical System);lung;frontal lobe;ovary;placenta;testis;colon;brain;	dorsal root ganglion;superior cervical ganglion;tongue;adrenal cortex;pons;atrioventricular node;skin;skeletal muscle;prostate;subthalamic nucleus;globus pallidus;ciliary ganglion;trigeminal ganglion;parietal lobe;	0.15384	0.17413	0.424410872	77.25878745	2015.82594	8.26686
PDE4D	0.983199686418857	0.0168002270009629	8.65801803613267e-08	phosphodiesterase 4D	FUNCTION: Hydrolyzes the second messenger cAMP, which is a key regulator of many important physiological processes. {ECO:0000269|PubMed:15260978, ECO:0000269|PubMed:15576036}.; 	DISEASE: Note=Genetic variations in PDE4D might be associated with susceptibility to stroke. PubMed:17006457 states that association with stroke has to be considered with caution. {ECO:0000269|PubMed:17006457}.; DISEASE: Acrodysostosis 2, with or without hormone resistance (ACRDYS2) [MIM:614613]: A pleiotropic disorder characterized by skeletal, endocrine, and neurological abnormalities. Skeletal features include brachycephaly, midface hypoplasia with a small upturned nose, brachydactyly, and lumbar spinal stenosis. Endocrine abnormalities include hypothyroidism and hypogonadism in males and irregular menses in females. Developmental disability is a common finding but is variable in severity and can be associated with significant behavioral problems. {ECO:0000269|PubMed:22464250, ECO:0000269|PubMed:22464252, ECO:0000269|PubMed:23033274, ECO:0000269|PubMed:23043190}. Note=The disease is caused by mutations affecting the gene represented in this entry.; 	TISSUE SPECIFICITY: Expressed in colonic epithelial cells (at protein level). Widespread; most abundant in skeletal muscle. Isoform 6 is detected in brain. Isoform 8 is detected in brain, placenta, lung and kidney. Isoform 7 is detected in heart and skeletal muscle. {ECO:0000269|PubMed:12834813, ECO:0000269|PubMed:17244609}.; 	unclassifiable (Anatomical System);ovary;cartilage;heart;colon;blood;skin;skeletal muscle;uterus;prostate;whole body;lung;endometrium;larynx;pituitary gland;liver;testis;spleen;head and neck;kidney;germinal center;brain;stomach;thymus;	dorsal root ganglion;superior cervical ganglion;appendix;ciliary ganglion;atrioventricular node;pons;trigeminal ganglion;skeletal muscle;	0.24539	0.34543	-1.375949569	4.393724935	15.63977	0.55771
PDE4DIP	.	.	.	phosphodiesterase 4D interacting protein	FUNCTION: May function as an anchor sequestering components of the cAMP-dependent pathway to Golgi and/or centrosomes. {ECO:0000250}.; 	DISEASE: Note=A chromosomal aberration involving PDE4DIP may be the cause of a myeloproliferative disorder (MBD) associated with eosinophilia. Translocation t(1;5)(q23;q33) that forms a PDE4DIP- PDGFRB fusion protein. {ECO:0000269|PubMed:12907457}.; 	TISSUE SPECIFICITY: Highly expressed in heart and skeletal muscle and to a lower extent in brain and placenta. {ECO:0000269|PubMed:11374908}.; 	myocardium;ovary;sympathetic chain;skin;bone marrow;retina;prostate;optic nerve;frontal lobe;endometrium;thyroid;amniotic fluid;germinal center;brain;heart;cartilage;spinal cord;blood;lens;skeletal muscle;breast;epididymis;visual apparatus;macula lutea;liver;alveolus;cervix;spleen;colon;parathyroid;fovea centralis;choroid;uterus;whole body;cerebral cortex;larynx;bone;pituitary gland;testis;unclassifiable (Anatomical System);cerebellum cortex;islets of Langerhans;hypothalamus;bile duct;pancreas;lung;placenta;hippocampus;hypopharynx;head and neck;kidney;stomach;cerebellum;	occipital lobe;thalamus;superior cervical ganglion;fetal brain;placenta;spinal cord;prefrontal cortex;globus pallidus;ciliary ganglion;atrioventricular node;trigeminal ganglion;skeletal muscle;	.	.	7.985992467	99.94692144	8042.34707	19.35299
PDE4DIPP1	.	.	.	phosphodiesterase 4D interacting protein pseudogene 1	.	.	.	.	.	.	.	.	.	.	.
PDE5A	0.00339090594474959	0.996591682216308	1.74118389419238e-05	phosphodiesterase 5A	FUNCTION: Plays a role in signal transduction by regulating the intracellular concentration of cyclic nucleotides. This phosphodiesterase catalyzes the specific hydrolysis of cGMP to 5'- GMP (PubMed:9714779, PubMed:15489334). Specifically regulates nitric-oxide-generated cGMP (PubMed:15489334). {ECO:0000269|PubMed:15489334, ECO:0000269|PubMed:9714779}.; 	.	TISSUE SPECIFICITY: Expressed in aortic smooth muscle cells, heart, placenta, skeletal muscle and pancreas and, to a much lesser extent, in brain, liver and lung.; 	unclassifiable (Anatomical System);cartilage;heart;ovary;islets of Langerhans;colon;parathyroid;skeletal muscle;retina;prostate;whole body;lung;thyroid;placenta;visual apparatus;hippocampus;testis;cervix;kidney;spinal ganglion;brain;artery;aorta;	superior cervical ganglion;pons;skeletal muscle;	0.17795	0.23802	1.047190339	91.34229771	426.62286	4.31406
PDE6A	6.60508610952056e-12	0.830863454392201	0.169136545601194	phosphodiesterase 6A	FUNCTION: This protein participates in processes of transmission and amplification of the visual signal.; 	DISEASE: Retinitis pigmentosa 43 (RP43) [MIM:613810]: A retinal dystrophy belonging to the group of pigmentary retinopathies. Retinitis pigmentosa is characterized by retinal pigment deposits visible on fundus examination and primary loss of rod photoreceptor cells followed by secondary loss of cone photoreceptors. Patients typically have night vision blindness and loss of midperipheral visual field. As their condition progresses, they lose their far peripheral visual field and eventually central vision as well. {ECO:0000269|PubMed:10393062, ECO:0000269|PubMed:7493036}. Note=The disease is caused by mutations affecting the gene represented in this entry.; 	.	unclassifiable (Anatomical System);optic nerve;bone;macula lutea;colon;fovea centralis;choroid;lens;skeletal muscle;retina;	superior cervical ganglion;temporal lobe;pons;parietal lobe;	0.38982	0.20248	-0.189246284	39.30761972	881.28278	5.78422
PDE6B	1.62565147164988e-13	0.529057744345711	0.470942255654126	phosphodiesterase 6B	FUNCTION: This protein participates in processes of transmission and amplification of the visual signal. Necessary for the formation of a functional phosphodiesterase holoenzyme.; 	DISEASE: Retinitis pigmentosa 40 (RP40) [MIM:613801]: A retinal dystrophy belonging to the group of pigmentary retinopathies. Retinitis pigmentosa is characterized by retinal pigment deposits visible on fundus examination and primary loss of rod photoreceptor cells followed by secondary loss of cone photoreceptors. Patients typically have night vision blindness and loss of midperipheral visual field. As their condition progresses, they lose their far peripheral visual field and eventually central vision as well. {ECO:0000269|PubMed:22334370, ECO:0000269|PubMed:8394174, ECO:0000269|PubMed:8557257, ECO:0000269|PubMed:8595886, ECO:0000269|PubMed:8698075, ECO:0000269|PubMed:8956055, ECO:0000269|PubMed:9543643}. Note=The disease is caused by mutations affecting the gene represented in this entry.; DISEASE: Night blindness, congenital stationary, autosomal dominant 2 (CSNBAD2) [MIM:163500]: A non-progressive retinal disorder characterized by impaired night vision, often associated with nystagmus and myopia. {ECO:0000269|PubMed:8075643}. Note=The disease is caused by mutations affecting the gene represented in this entry.; 	.	unclassifiable (Anatomical System);ovary;salivary gland;pharynx;colon;blood;skeletal muscle;retina;breast;uterus;prostate;lung;visual apparatus;liver;testis;kidney;brain;pineal gland;bladder;	superior cervical ganglion;subthalamic nucleus;ciliary ganglion;atrioventricular node;trigeminal ganglion;parietal lobe;skeletal muscle;	0.61184	0.55597	-0.538378753	20.05189903	482.88245	4.52475
PDE6C	7.4249966167879e-08	0.998807997782114	0.00119192796792033	phosphodiesterase 6C	.	DISEASE: Cone dystrophy 4 (COD4) [MIM:613093]: An early-onset cone dystrophy. Cone dystrophies are retinal dystrophies characterized by progressive degeneration of the cone photoreceptors with preservation of rod function, as indicated by electroretinogram. However, some rod involvement may be present in some cone dystrophies, particularly at late stage. Affected individuals suffer from photophobia, loss of visual acuity, color vision and central visual field. Another sign is the absence of macular lesions for many years. Cone dystrophies are distinguished from the cone-rod dystrophies in which some loss of peripheral vision also occurs. {ECO:0000269|PubMed:19615668}. Note=The disease is caused by mutations affecting the gene represented in this entry.; 	.	.	.	0.34895	0.13306	0.115764778	62.17268224	3123.84709	10.63181
PDE6D	0.0844960932718429	0.871358036211534	0.0441458705166231	phosphodiesterase 6D	FUNCTION: Promotes the release of prenylated target proteins from cellular membranes (PubMed:9712853). Modulates the activity of prenylated or palmitoylated Ras family members by regulating their subcellular location (PubMed:22002721, PubMed:23698361). Required for normal ciliary targeting of farnesylated target proteins, such as INPP5E (PubMed:24166846). Modulates the subcellular location of target proteins by acting as a GTP specific dissociation inhibitor (GDI) (By similarity). Increases the affinity of ARL3 for GTP by several orders of magnitude. Stabilizes ARL3-GTP by decreasing the nucleotide dissociation rate (By similarity). {ECO:0000250|UniProtKB:O55057, ECO:0000269|PubMed:10518933, ECO:0000269|PubMed:22002721, ECO:0000269|PubMed:23559067, ECO:0000269|PubMed:23698361, ECO:0000269|PubMed:24166846, ECO:0000269|PubMed:9712853}.; 	.	TISSUE SPECIFICITY: Widely expressed. Detected in various tissues including spleen, prostate gland, testis, ovary, small intestine, colon, retina, and peripheral blood. {ECO:0000269|PubMed:9712853}.; 	lymphoreticular;ovary;colon;fovea centralis;choroid;skin;retina;bone marrow;uterus;prostate;optic nerve;larynx;bone;testis;brain;unclassifiable (Anatomical System);lymph node;cartilage;heart;islets of Langerhans;hypothalamus;adrenal cortex;blood;lens;skeletal muscle;bile duct;pancreas;lung;placenta;macula lutea;visual apparatus;duodenum;liver;spleen;head and neck;cervix;kidney;stomach;	whole brain;amygdala;	0.39233	0.19140	0.479642105	78.95140363	36.22935	1.08568
PDE6G	0.014216424092894	0.677118685905428	0.308664890001678	phosphodiesterase 6G	FUNCTION: Participates in processes of transmission and amplification of the visual signal. cGMP-PDEs are the effector molecules in G-protein-mediated phototransduction in vertebrate rods and cones.; 	DISEASE: Retinitis pigmentosa 57 (RP57) [MIM:613582]: A retinal dystrophy belonging to the group of pigmentary retinopathies. Retinitis pigmentosa is characterized by retinal pigment deposits visible on fundus examination and primary loss of rod photoreceptor cells followed by secondary loss of cone photoreceptors. Patients typically have night vision blindness and loss of midperipheral visual field. As their condition progresses, they lose their far peripheral visual field and eventually central vision as well. {ECO:0000269|PubMed:20655036}. Note=The disease is caused by mutations affecting the gene represented in this entry.; 	.	unclassifiable (Anatomical System);ovary;cartilage;pineal body;blood;parathyroid;fovea centralis;choroid;skeletal muscle;retina;uterus;lung;placenta;macula lutea;visual apparatus;liver;spleen;pineal gland;brain;	superior cervical ganglion;globus pallidus;ciliary ganglion;atrioventricular node;trigeminal ganglion;skeletal muscle;	0.20666	0.13449	0.191216164	66.57230479	533.29397	4.71123
PDE6H	0.00652871284753312	0.513187596360356	0.48028369079211	phosphodiesterase 6H	FUNCTION: Participates in processes of transmission and amplification of the visual signal. cGMP-PDEs are the effector molecules in G-protein-mediated phototransduction in vertebrate rods and cones.; 	DISEASE: Cone dystrophy, retinal 3A (RCD3A) [MIM:610024]: A rare form of cone dystrophy associated with supernormal rod responses. The disorder is characterized by reduced visual acuity, photoaversion, night blindness, and abnormal color vision. At an early age, the retina shows subtle depigmentation at the macula and, later, more obvious areas of atrophy. {ECO:0000269|PubMed:15629837}. Note=The disease is caused by mutations affecting the gene represented in this entry.; 	.	unclassifiable (Anatomical System);optic nerve;pineal body;macula lutea;fovea centralis;choroid;pineal gland;retina;	superior cervical ganglion;appendix;trigeminal ganglion;skeletal muscle;	0.32724	0.12944	0.101211609	60.95777306	11.63033	0.42151
PDE7A	0.19205771415361	0.807480412061557	0.000461873784832841	phosphodiesterase 7A	FUNCTION: Hydrolyzes the second messenger cAMP, which is a key regulator of many important physiological processes. May have a role in muscle signal transduction. {ECO:0000269|PubMed:19350606}.; 	.	TISSUE SPECIFICITY: PDE7A1 is found at high levels in skeletal muscle and at low levels in a variety of tissues including brain and heart. It is expressed as well in two T-cell lines. PDE7A2 is found abundantly in skeletal muscle and at low levels in heart.; 	.	.	0.63645	0.14596	-0.159704656	41.90846898	474.4538	4.50090
PDE7B	0.946452268895357	0.0535461915311974	1.53957344586715e-06	phosphodiesterase 7B	FUNCTION: Hydrolyzes the second messenger cAMP, which is a key regulator of many important physiological processes. May be involved in the control of cAMP-mediated neural activity and cAMP metabolism in the brain.; 	.	.	unclassifiable (Anatomical System);colon;skeletal muscle;skin;breast;prostate;optic nerve;lung;larynx;placenta;bone;testis;head and neck;brain;stomach;	superior cervical ganglion;pons;	0.48259	0.13650	-0.291981272	33.20358575	81.71899	1.91609
PDE8A	0.713477056622093	0.286522713074327	2.30303579823865e-07	phosphodiesterase 8A	FUNCTION: Hydrolyzes the second messenger cAMP, which is a key regulator of many important physiological processes. May be involved in maintaining basal levels of the cyclic nucleotide and/or in the cAMP regulation of germ cell development. {ECO:0000269|PubMed:18983167}.; 	.	TISSUE SPECIFICITY: Expressed in most tissues except thymus and peripheral blood leukocytes. Highest levels in testis, ovary, small intestine and colon.; 	smooth muscle;ovary;colon;parathyroid;skin;retina;bone marrow;uterus;prostate;whole body;frontal lobe;cochlea;endometrium;larynx;bone;testis;germinal center;spinal ganglion;brain;bladder;unclassifiable (Anatomical System);amygdala;heart;islets of Langerhans;hypothalamus;adrenal cortex;blood;skeletal muscle;bile duct;breast;pancreas;lung;placenta;visual apparatus;liver;spleen;head and neck;cervix;kidney;mammary gland;stomach;	dorsal root ganglion;amygdala;superior cervical ganglion;occipital lobe;medulla oblongata;testis - interstitial;thalamus;hypothalamus;atrioventricular node;caudate nucleus;globus pallidus;testis;ciliary ganglion;parietal lobe;cingulate cortex;	0.43995	0.13223	-0.200157416	39.11299835	317.57217	3.78359
PDE8B	0.986862335777411	0.0131376546495197	9.57306907025439e-09	phosphodiesterase 8B	FUNCTION: Hydrolyzes the second messenger cAMP, which is a key regulator of many important physiological processes. May be involved in specific signaling in the thyroid gland.; 	DISEASE: Striatal degeneration autosomal dominant (ADSD) [MIM:609161]: A movement disorder affecting the striatal part of the basal ganglia and characterized by bradykinesia, dysarthria and muscle rigidity. These symptoms resemble idiopathic Parkinson disease, but tremor is not present. {ECO:0000269|PubMed:20085714}. Note=The disease is caused by mutations affecting the gene represented in this entry.; DISEASE: Primary pigmented nodular adrenocortical disease 3 (PPNAD3) [MIM:614190]: A rare bilateral adrenal defect causing ACTH-independent Cushing syndrome. Macroscopic appearance of the adrenals is characteristic with small pigmented micronodules observed in the cortex. Adrenal glands show overall normal size and weight, and multiple small yellow-to-dark brown nodules surrounded by a cortex with a uniform appearance. Microscopically, there are moderate diffuse cortical hyperplasia with mostly nonpigmented nodules, multiple capsular deficits and massive circumscribed and infiltrating extra-adrenal cortical excrescences with micronodules. Clinical manifestations of Cushing syndrome include facial and truncal obesity, abdominal striae, muscular weakness, osteoporosis, arterial hypertension, diabetes. {ECO:0000269|PubMed:18431404}. Note=The disease is caused by mutations affecting the gene represented in this entry.; 	TISSUE SPECIFICITY: Abundantly expressed in the thyroid. Also very weakly expressed in brain, spinal cord and placenta. In the thyroid isoform 1 predominates, and isoforms 2 and 6 are also highly expressed. In the placenta isoforms 1 and 2 are expressed equally. In the brain isoform 2 predominates. {ECO:0000269|PubMed:12372422, ECO:0000269|PubMed:12681444}.; 	unclassifiable (Anatomical System);cartilage;heart;ovary;tongue;islets of Langerhans;parathyroid;skin;uterus;prostate;lung;frontal lobe;bone;thyroid;placenta;hippocampus;liver;testis;head and neck;cervix;germinal center;kidney;mammary gland;brain;	whole brain;occipital lobe;temporal lobe;caudate nucleus;pons;fetal thyroid;skeletal muscle;subthalamic nucleus;thyroid;prefrontal cortex;globus pallidus;ciliary ganglion;parietal lobe;	0.47483	.	-0.688817379	15.20405756	135.71543	2.53301
PDE9A	0.0020173637864315	0.99780072452504	0.000181911688528475	phosphodiesterase 9A	FUNCTION: Specifically hydrolyzes the second messenger cGMP, which is a key regulator of many important physiological processes. Highly specific: compared to other members of the cyclic nucleotide phosphodiesterase family, has the highest affinity and selectivity for cGMP (PubMed:9624146, PubMed:18757755, PubMed:21483814). Specifically regulates natriuretic-peptide- dependent cGMP signaling in heart, acting as a regulator of cardiac hypertrophy in myocytes and muscle. Does not regulate nitric oxide-dependent cGMP in heart (PubMed:25799991). Additional experiments are required to confirm whether its ability to hydrolyze natriuretic-peptide-dependent cGMP is specific to heart or is a general feature of the protein (Probable). In brain, involved in cognitive function, such as learning and long-term memory (By similarity). {ECO:0000250|UniProtKB:Q8QZV1, ECO:0000269|PubMed:18757755, ECO:0000269|PubMed:21483814, ECO:0000269|PubMed:25799991, ECO:0000269|PubMed:9624146, ECO:0000305}.; 	.	TISSUE SPECIFICITY: Expressed in all tissues examined (testis, brain, small intestine, skeletal muscle, heart, lung, thymus, spleen, placenta, kidney, liver, pancreas, ovary and prostate) except blood (PubMed:9624146). Highest levels in brain, heart, kidney, spleen, prostate and colon. Isoform PDE9A12 is found in prostate (PubMed:12565835). In brain, present in the cortex, cerebellum, and subiculum (at protein level) (PubMed:22328573). In heart, primarily localizes to myocytes (PubMed:25799991). {ECO:0000269|PubMed:12565835, ECO:0000269|PubMed:22328573, ECO:0000269|PubMed:25799991, ECO:0000269|PubMed:9624146}.; 	unclassifiable (Anatomical System);cartilage;tongue;colon;fovea centralis;pancreas;prostate;whole body;lung;larynx;bone;thyroid;placenta;macula lutea;visual apparatus;iris;liver;testis;head and neck;spleen;kidney;brain;	superior cervical ganglion;prostate;olfactory bulb;trigeminal ganglion;skeletal muscle;cingulate cortex;	0.45473	0.12560	-0.462894052	23.62585515	56.76888	1.51603
PDE10A	0.998485350613982	0.00151464914483312	2.41184691946948e-10	phosphodiesterase 10A	FUNCTION: Plays a role in signal transduction by regulating the intracellular concentration of cyclic nucleotides. Can hydrolyze both cAMP and cGMP, but has higher affinity for cAMP and is more efficient with cAMP as substrate. {ECO:0000269|PubMed:17389385}.; 	.	TISSUE SPECIFICITY: Abundant in the putamen and caudate nucleus regions of brain and testis, moderately expressed in the thyroid gland, pituitary gland, thalamus and cerebellum.; 	unclassifiable (Anatomical System);lymph node;salivary gland;colon;fovea centralis;choroid;lens;skeletal muscle;retina;pancreas;optic nerve;lung;placenta;macula lutea;testis;head and neck;kidney;	superior cervical ganglion;medulla oblongata;ciliary ganglion;pons;caudate nucleus;atrioventricular node;skeletal muscle;	0.32956	0.14947	-0.977252525	8.799245105	48.90667	1.36535
PDE11A	4.16725018760818e-31	4.13230761598233e-06	0.999995867692384	phosphodiesterase 11A	FUNCTION: Plays a role in signal transduction by regulating the intracellular concentration of cyclic nucleotides cAMP and cGMP. Catalyzes the hydrolysis of both cAMP and cGMP to 5'-AMP and 5'- GMP, respectively. {ECO:0000269|PubMed:10725373, ECO:0000269|PubMed:10906126, ECO:0000269|PubMed:11050148}.; 	DISEASE: Primary pigmented nodular adrenocortical disease 2 (PPNAD2) [MIM:610475]: A rare bilateral adrenal defect causing ACTH-independent Cushing syndrome. Macroscopic appearance of the adrenals is characteristic with small pigmented micronodules observed in the cortex. Adrenal glands show overall normal size and weight, and multiple small yellow-to-dark brown nodules surrounded by a cortex with a uniform appearance. Microscopically, there are moderate diffuse cortical hyperplasia with mostly nonpigmented nodules, multiple capsular deficits and massive circumscribed and infiltrating extra-adrenal cortical excrescences with micronodules. Clinical manifestations of Cushing syndrome include facial and truncal obesity, abdominal striae, muscular weakness, osteoporosis, arterial hypertension, diabetes. {ECO:0000269|PubMed:16767104}. Note=The disease is caused by mutations affecting the gene represented in this entry.; 	TISSUE SPECIFICITY: Isoform 1 is present in prostate, pituitary, heart and liver. It is however not present in testis nor in penis, suggesting that weak inhibition by Tadalafil (Cialis) is not relevant (at protein level). Isoform 2 may be expressed in testis. Isoform 4 is expressed in adrenal cortex. {ECO:0000269|PubMed:10725373, ECO:0000269|PubMed:11121118, ECO:0000269|PubMed:15800651, ECO:0000269|PubMed:16079899, ECO:0000269|PubMed:16767104}.; 	unclassifiable (Anatomical System);	superior cervical ganglion;skeletal muscle;	0.23385	0.14082	0.764222299	86.86010852	1086.94608	6.31598
PDE12	0.0235724225080969	0.962043605404927	0.0143839720869763	phosphodiesterase 12	FUNCTION: Enzyme that cleaves 2',5'-phosphodiester bond linking adenosines of the 5'-triphosphorylated oligoadenylates, triphosphorylated oligoadenylates referred as 2-5A modulates the 2-5A system. This enzyme degraded triphosphorylated 2-5A to produce AMP and ATP. Also cleaves 3',5'-phosphodiester bond of oligoadenylates. Plays a role as a negative regulator of the The 2-5A system that is one of the major pathways for antiviral and antitumor functions induced by interferons (IFNs). Suppression of this enzyme induces reduction of viral replication in Hela cells, thus counteracting the antiviral pathway probably by inhibiting the 2-5A system. {ECO:0000269|PubMed:15231837, ECO:0000269|PubMed:21245038, ECO:0000269|PubMed:21666256, ECO:0000269|PubMed:22285541}.; 	.	TISSUE SPECIFICITY: Ubiquitous. {ECO:0000269|PubMed:15231837}.; 	unclassifiable (Anatomical System);heart;tongue;islets of Langerhans;colon;parathyroid;blood;skin;retina;breast;uterus;prostate;pancreas;whole body;lung;cochlea;thyroid;liver;testis;head and neck;spleen;germinal center;kidney;brain;pineal gland;mammary gland;	superior cervical ganglion;globus pallidus;ciliary ganglion;atrioventricular node;	0.08441	0.10854	-0.179930907	40.35739561	2499.5168	9.31489
PDF	0.0503154180966918	0.689768042718933	0.259916539184375	peptide deformylase (mitochondrial)	FUNCTION: Removes the formyl group from the N-terminal Met of newly synthesized proteins. {ECO:0000250}.; 	.	TISSUE SPECIFICITY: Ubiquitous.; 	unclassifiable (Anatomical System);lymph node;islets of Langerhans;adrenal cortex;colon;blood;uterus;pancreas;lung;liver;testis;germinal center;kidney;brain;stomach;	dorsal root ganglion;superior cervical ganglion;testis - interstitial;testis - seminiferous tubule;testis;	0.06879	.	.	.	585.09669	4.90401
